seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
8,32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.99125,0.99125,0.0,1.0,0.0,0.0,0.0
8,40,4,50,4.1,L07,2.0,138.5,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,8,50,2.0,L08,2.0,138.5,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,40,4,50,5.5,L09,2.0,138.5,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.99375,0.99375,0.0,1.0,0.0,0.0,0.0
8,40,8,50,2.7,L10,2.0,138.5,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,0.99875,0.0,1.0,0.0,0.0,0.0
8,40,4,50,6.1,L11,2.0,138.5,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.98,0.98,0.0,1.0,0.0,0.0,0.0
8,40,8,50,3.1,L12,2.0,138.5,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.975,0.971875,-0.003125,1.0,0.002543956043955964,-0.0005521990966134704,0.000552199096613526
8,48,4,50,4.1,L13,2.0,166.2,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,0.9925,0.9925,0.0,1.0,0.0,0.0,0.0
8,48,8,50,2.0,L14,2.0,166.2,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,48,4,50,5.5,L15,2.0,166.2,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.95625,0.95625,0.0,1.0,0.0,0.0,0.0
8,48,8,50,2.7,L16,2.0,166.2,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.996875,0.996875,0.0,1.0,0.0,0.0,0.0
8,48,4,50,6.1,L17,2.0,166.2,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.92875,0.92875,0.0,1.0,0.0,0.0,0.0
8,48,8,50,3.1,L18,2.0,166.2,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.918125,0.918125,0.0,1.0,0.0,0.0,0.0
9,32,4,50,4.1,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,8,50,2.0,L02,2.0,110.8,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,4,50,5.5,L03,2.0,110.8,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,8,50,2.7,L04,2.0,110.8,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.975,0.975,0.0,1.0,0.0,0.0,0.0
9,40,4,50,4.1,L07,2.0,138.5,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,8,50,2.0,L08,2.0,138.5,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,4,50,5.5,L09,2.0,138.5,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,-0.00023342756345068327,0.00023342756345068327
9,40,8,50,2.7,L10,2.0,138.5,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,40,4,50,6.1,L11,2.0,138.5,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.9975,0.9975,0.0,1.0,0.0,0.0,0.0
9,40,8,50,3.1,L12,2.0,138.5,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.913125,0.913125,0.0,1.0,0.0,0.0,0.0
9,48,4,50,4.1,L13,2.0,166.2,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,0.99875,0.0,1.0,0.0,0.0,0.0
9,48,8,50,2.0,L14,2.0,166.2,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,-8.058608058603145e-05,-8.118249890542995e-05,8.118249890542995e-05
9,48,4,50,5.5,L15,2.0,166.2,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.99,0.99,0.0,1.0,0.0,0.0,0.0
9,48,8,50,2.7,L16,2.0,166.2,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,48,4,50,6.1,L17,2.0,166.2,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.95875,0.95875,0.0,1.0,0.0,0.0,0.0
9,48,8,50,3.1,L18,2.0,166.2,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.830625,0.830625,0.0,1.0,0.0,0.0,0.0
10,32,4,50,4.1,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,2.0,L02,2.0,110.8,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,4,50,5.5,L03,2.0,110.8,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,2.7,L04,2.0,110.8,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,4,50,4.1,L07,2.0,138.5,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,8,50,2.0,L08,2.0,138.5,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,4,50,5.5,L09,2.0,138.5,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,8,50,2.7,L10,2.0,138.5,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,40,4,50,6.1,L11,2.0,138.5,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.9975,0.9975,0.0,1.0,0.0,0.0,0.0
10,40,8,50,3.1,L12,2.0,138.5,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.994375,0.994375,0.0,1.0,0.0,0.0,0.0
10,48,4,50,4.1,L13,2.0,166.2,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,8,50,2.0,L14,2.0,166.2,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10,48,4,50,5.5,L15,2.0,166.2,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.99875,0.99875,0.0,1.0,0.0,0.0,0.0
10,48,8,50,2.7,L16,2.0,166.2,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.999375,0.999375,0.0,1.0,0.0,0.0,0.0
10,48,4,50,6.1,L17,2.0,166.2,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.99625,0.99625,0.0,1.0,0.0,0.0,0.0
10,48,8,50,3.1,L18,2.0,166.2,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.9925,0.9925,0.0,1.0,0.0,0.0,0.0
11,32,4,50,4.1,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,8,50,2.0,L02,2.0,110.8,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,32,4,50,5.5,L03,2.0,110.8,0.06998241145174686,0.40274599542334094,0.07,0.4,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,0.97625,0.97625,0.0,1.0,0.0,0.0,0.0
11,32,8,50,2.7,L04,2.0,110.8,0.06998241145174686,0.39542334096109844,0.07,0.4,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.999375,0.999375,0.0,1.0,0.0,0.0,0.0
11,32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.07,0.45,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,0.2675,0.27625,0.00875,0.999653940458,-0.0001996336996337167,0.00042671356874143807,-0.0004267135687414658
11,32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.07,0.45,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,candidate_domain_solve_period,candidate_domain_solve_packet,0.32625,0.295625,-0.030625,0.99850072626,0.0,-0.0016691086691086598,0.0016691086691087431
11,40,4,50,4.1,L07,2.0,138.5,0.06998241145174686,0.300228832951945,0.07,0.3,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,0.9625,0.9625,0.0,1.0,0.0,0.0,0.0
11,40,8,50,2.0,L08,2.0,138.5,0.06998241145174686,0.2929061784897025,0.07,0.3,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,1.0,0.0,1.0,0.0,0.0,0.0
