background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,threshold,baseline_feasible,proposed_feasible
32,4,50,4.1,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,5.5,L03,2.0,110.8,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,0.07,0.4,0.06998241145174686,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,0.07,0.45,0.06998241145174686,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,2.0,L02,2.0,110.8,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,0.07,0.3,0.06998241145174686,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.7,L04,2.0,110.8,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,0.07,0.4,0.06998241145174686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,0.07,0.45,0.06998241145174686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,4,50,4.1,L07,2.0,138.5,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,4,50,5.5,L09,2.0,138.5,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,0.07,0.4,0.06998241145174686,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,4,50,6.1,L11,2.0,138.5,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,0.07,0.45,0.06998241145174686,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
40,8,50,2.0,L08,2.0,138.5,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,0.07,0.3,0.06998241145174686,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,8,50,2.7,L10,2.0,138.5,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,0.07,0.4,0.06998241145174686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
40,8,50,3.1,L12,2.0,138.5,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,0.07,0.45,0.06998241145174686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
48,4,50,4.1,L13,2.0,166.2,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,4,50,5.5,L15,2.0,166.2,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,0.07,0.4,0.06998241145174686,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,4,50,6.1,L17,2.0,166.2,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,0.07,0.45,0.06998241145174686,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
48,8,50,2.0,L14,2.0,166.2,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,0.07,0.3,0.06998241145174686,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,8,50,2.7,L16,2.0,166.2,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,0.07,0.4,0.06998241145174686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
48,8,50,3.1,L18,2.0,166.2,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,0.07,0.45,0.06998241145174686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
